text,sentiment,labels
"Very disappointed. disrespectful towards me and my home, plus left a small mess.",negative,poor_quality|rude
Bad experience. unfriendly attitude the whole time.,negative,rude
"Had a bad attitude, plus had to chase him constantly for updates.",negative,rude|slow_response
Very disappointed. the work quality was terrible. Also demanded extra money for no reason.,negative,overpriced|poor_quality
Very satisfied. the cost was lower than I expected — right on time. Also got back to me right away.,positive,fast_response|price_fair|punctual
Excellent worker. responds fast and finished the job within the promised time.,positive,fast_response|punctual
Very expensive — waited forever just to get a quote. Also yelled at me when I pointed out a mistake.,negative,overpriced|rude|slow_response
Very satisfied. the price is right. Sadly waited forever just to get a quote.,mixed,price_fair|slow_response
"Would hire again. friendly, honest and easy to talk to. Sadly damaged my wall while working.",mixed,friendly|poor_quality
"Bad experience. stopped responding after the first visit, plus kept me waiting all morning.",negative,late|slow_response
"The work quality was terrible, plus takes forever to answer. Also yelled at me when I pointed out a mistake.",negative,poor_quality|rude|slow_response
Added hidden costs at the end.,negative,overpriced
Excellent worker. answered immediately and came the same day.,positive,fast_response
Very satisfied. fast reply.,positive,fast_response
Bad experience. slow to reply. On top of that his prices are absurdly high.,negative,overpriced|slow_response
"Would hire again. treated my home with respect, lovely person. The downside: not worth the money at all.",mixed,friendly|overpriced
Terrible service. cheap materials and careless work — ignored my calls for a week.,negative,poor_quality|slow_response
"Bad experience. took days to answer my messages, plus kept me waiting all morning. On top of that quite rude when I asked questions.",negative,late|rude|slow_response
Would not recommend. never arrived at the agreed time and overpriced for such a simple job.,negative,late|overpriced
Not happy at all. arrived late without any excuse.,negative,late
"Great experience. very responsive, plus the quality of the work is excellent.",positive,fast_response|high_quality
"Would hire again. got back to me right away and the work quality is really good, plus didn't overcharge me at all, honest guy.",positive,fast_response|high_quality|price_fair
Finished the job within the promised time.,positive,punctual
Bad experience. arrived late without any excuse and the bill was huge — the work was awful.,negative,late|overpriced|poor_quality
Would hire again. very quick to respond to my messages. Sadly low quality job.,mixed,fast_response|poor_quality
Would hire again. the price was very fair. However he was late.,mixed,late|price_fair
Highly recommend. very friendly and polite. However stopped responding after the first visit.,mixed,friendly|slow_response
Very disappointed. missed the appointment completely — not worth the money at all.,negative,late|overpriced
"Impolite and impatient with everything — demanded extra money for no reason, plus was late both days without warning.",negative,late|overpriced|rude
Kept me waiting all morning.,negative,late
Excellent worker. answered immediately and came the same day — always punctual.,positive,fast_response|punctual
"Very satisfied. top quality job, no issues since. The downside: zero manners, very unpleasant person.",mixed,high_quality|rude
"Not happy at all. sloppy job, it broke again after a week. On top of that kept me waiting all morning — the bill was huge.",negative,late|overpriced|poor_quality
Highly recommend. transparent pricing from the start. On top of that very quick to respond to my messages.,positive,fast_response|price_fair
Great experience. polite and helpful.,positive,friendly
Terrible service. did a horrible job. On top of that way too expensive for what he did. On top of that such a rude person.,negative,overpriced|poor_quality|rude
"Got back to me right away and friendly, honest and easy to talk to.",positive,fast_response|friendly
Avoid this worker. missed the appointment completely.,negative,late
Bad experience. got aggressive when I asked questions.,negative,rude
"Very satisfied. polite and helpful, plus solid work that will last for years.",positive,friendly|high_quality
Excellent worker. fast reply.,positive,fast_response
Would hire again. kept to the agreed schedule perfectly.,positive,punctual
"Very satisfied. arrived exactly on time, but missed the appointment completely.",mixed,late|punctual
Very disappointed. so rude to me. Also did a horrible job.,negative,poor_quality|rude
Excellent worker. very friendly the whole time.,positive,friendly
"Excellent worker. didn't overcharge me at all, honest guy. On top of that solid work.",positive,high_quality|price_fair
Great experience. the cost was lower than I expected.,positive,price_fair
Very satisfied. he was punctual and ready to work and transparent pricing from the start.,positive,price_fair|punctual
"Great experience. the price is right and friendly, honest and easy to talk to. Also responded quickly and scheduled the visit fast.",positive,fast_response|friendly|price_fair
Would not recommend. did not respect the schedule at all.,negative,late
"Very satisfied. such a kind and respectful person, plus replied to my request within minutes — was there at 8 sharp as agreed.",positive,fast_response|friendly|punctual
Very disappointed. demanded extra money for no reason and hours late.,negative,late|overpriced
"Top quality job, no issues since.",positive,high_quality
Terrible service. kept me waiting all morning.,negative,late
"Excellent worker. kept to the agreed schedule perfectly. On top of that amazing work, really well done.",positive,high_quality|punctual
Really happy with this. replied to my request within minutes.,positive,fast_response
"Avoid this worker. postponed twice and then came late anyway, plus slow to reply. Also demanded extra money for no reason.",negative,late|overpriced|slow_response
"Would hire again. amazing work, really well done.",positive,high_quality
"Terrible service. bad work, plus never replies, impossible to reach.",negative,poor_quality|slow_response
Would not recommend. yelled at me when I pointed out a mistake and communication was slow.,negative,rude|slow_response
Not happy at all. he was very rude — the work quality was terrible — demanded extra money for no reason.,negative,overpriced|poor_quality|rude
Very satisfied. solid quality work. Sadly had a bad attitude.,mixed,high_quality|rude
Bad experience. the job took twice as long as promised and communication was painfully slow.,negative,late|slow_response
Very satisfied. quality is top. On top of that great value for money.,positive,high_quality|price_fair
"Would not recommend. always late, wasted my whole day.",negative,late
Great experience. showed up right when he said he would.,positive,punctual
Not happy at all. postponed twice and then came late anyway.,negative,late
Highly recommend. very friendly and polite. Sadly response time could be faster.,mixed,friendly|slow_response
Not happy at all. damaged my wall while working.,negative,poor_quality
Highly recommend. explained everything patiently and nicely.,positive,friendly
Excellent worker. fast reply. Sadly response time could be faster.,mixed,fast_response|slow_response
Not happy at all. cheap materials and careless work and way too expensive for what he did. On top of that such a rude person.,negative,overpriced|poor_quality|rude
"Would hire again. kept to the agreed schedule perfectly, but takes forever to answer.",mixed,punctual|slow_response
"Highly recommend. got back to me right away. On top of that very punctual, respected my schedule.",positive,fast_response|punctual
Not happy at all. rude and unprofessional behavior.,negative,rude
Not happy at all. was late both days without warning.,negative,late
Bad experience. the problem came back two days later — rude and unprofessional behavior.,negative,poor_quality|rude
Really happy with this. such a kind and respectful person. Also very quick to respond to my messages.,positive,fast_response|friendly
Really happy with this. came even a few minutes early. The downside: such a rude person.,mixed,punctual|rude
"Bad experience. poor workmanship, crooked and leaking.",negative,poor_quality
Would hire again. on time. Sadly took long to get back to me.,mixed,punctual|slow_response
Always on time on both days.,positive,punctual
Finished the job within the promised time. On top of that responds fast.,positive,fast_response|punctual
Really happy with this. nice guy — very quick to respond to my messages. On top of that attention to detail was impressive.,positive,fast_response|friendly|high_quality
"Highly recommend. quick response, but he was very rude.",mixed,fast_response|rude
Excellent worker. cheap and good. However waited forever just to get a quote.,mixed,price_fair|slow_response
"Very disappointed. way too expensive for what he did, plus got rude with me.",negative,overpriced|rude
Would hire again. did a quality job.,positive,high_quality
Would not recommend. arrived late without any excuse. On top of that he was very rude.,negative,late|rude
"Excellent worker. super friendly, plus always on time on both days.",positive,friendly|punctual
Had to chase him constantly for updates. On top of that low quality job.,negative,poor_quality|slow_response
"Excellent worker. courteous and professional in every way, but cheap materials and careless work.",mixed,friendly|poor_quality
Very satisfied. fast reply — super friendly.,positive,fast_response|friendly
"Great experience. made me feel comfortable, very nice guy.",positive,friendly
Showed up two hours late.,negative,late
Not happy at all. his prices are absurdly high. Also takes forever to answer.,negative,overpriced|slow_response
Really happy with this. finished the job within the promised time. Also left everything clean and tidy after finishing.,positive,high_quality|punctual
Not worth the money at all — damaged my wall while working.,negative,overpriced|poor_quality
Great experience. his work is really good.,positive,high_quality
Avoid this worker. arrived late without any excuse.,negative,late
Would not recommend. not responsive at all.,negative,slow_response
"Excellent worker. always on time on both days, plus amazing work, really well done.",positive,high_quality|punctual
"Excellent worker. transparent pricing from the start. On top of that finished the job within the promised time — made me feel comfortable, very nice guy.",positive,friendly|price_fair|punctual
Very disappointed. came very late.,negative,late
Everything was installed properly and works great. Also very quick to respond to my messages.,positive,fast_response|high_quality
Terrible service. such a rude person. On top of that bad quality.,negative,poor_quality|rude
Fixed everything perfectly. However took long to get back to me.,mixed,high_quality|slow_response
Bad work.,negative,poor_quality
Bad experience. took long to get back to me.,negative,slow_response
Terrible service. rude and unprofessional behavior and took days to answer my messages.,negative,rude|slow_response
"Bad experience. the installation was done wrong. Also the bill was huge, plus yelled at me when I pointed out a mistake.",negative,overpriced|poor_quality|rude
Terrible service. added hidden costs at the end.,negative,overpriced
Avoid this worker. showed up two hours late.,negative,late
Excellent worker. instant reply when I contacted him. Sadly the bill was huge.,mixed,fast_response|overpriced
Really happy with this. fair price for good work. Sadly the work was awful.,mixed,poor_quality|price_fair
Would not recommend. slow to reply.,negative,slow_response
Really happy with this. very quick to respond to my messages.,positive,fast_response
Very disappointed. quite rude when I asked questions.,negative,rude
Right on time. Also attention to detail was impressive and transparent pricing from the start.,positive,high_quality|price_fair|punctual
Great experience. responded quickly and scheduled the visit fast.,positive,fast_response
Highly recommend. very friendly the whole time.,positive,friendly
Very disappointed. the price was a complete rip off — waited forever just to get a quote.,negative,overpriced|slow_response
Really happy with this. kept to the agreed schedule perfectly — best price I could find for this job.,positive,price_fair|punctual
Very satisfied. good price.,positive,price_fair
Great experience. very reasonable price for the work done — fast reply. Also his work is really good.,positive,fast_response|high_quality|price_fair
"Excellent worker. pleasant to deal with, great attitude.",positive,friendly
"Would not recommend. never replies, impossible to reach. On top of that had to hire someone else to fix his mistakes.",negative,poor_quality|slow_response
Excellent worker. finished the job within the promised time.,positive,punctual
Not happy at all. hours late. On top of that took days to answer my messages. On top of that unfriendly attitude the whole time.,negative,late|rude|slow_response
Great experience. instant reply when I contacted him. Also excellent quality.,positive,fast_response|high_quality
"Cheap and good, plus very friendly and polite.",positive,friendly|price_fair
Not happy at all. so rude to me. On top of that cheap materials and careless work and not responsive at all.,negative,poor_quality|rude|slow_response
Would hire again. polite and helpful. Sadly bad work.,mixed,friendly|poor_quality
Not happy at all. the work quality was terrible.,negative,poor_quality
Not responsive at all.,negative,slow_response
"Had to chase him constantly for updates. Also his prices are absurdly high, plus sloppy job, it broke again after a week.",negative,overpriced|poor_quality|slow_response
Really happy with this. the work quality is really good. Also nice and friendly.,positive,friendly|high_quality
"Would hire again. right on time. Also didn't overcharge me at all, honest guy.",positive,price_fair|punctual
"Avoid this worker. very unprofessional result, had to redo it.",negative,poor_quality
Would not recommend. not worth the money at all.,negative,overpriced
"Terrible service. always late, wasted my whole day and got rude with me.",negative,late|rude
Would not recommend. kept me waiting all morning.,negative,late
"Polite and helpful, plus charged exactly what was quoted, no surprises.",positive,friendly|price_fair
Bad experience. got rude with me — the work quality was terrible.,negative,poor_quality|rude
Highly recommend. replied to my request within minutes.,positive,fast_response
"Bad experience. left a small mess. Also zero manners, very unpleasant person. Also final bill was double the estimate.",negative,overpriced|poor_quality|rude
Would hire again. super fast communication throughout.,positive,fast_response
"Bad experience. too expensive and took days to answer my messages, plus left a small mess.",negative,overpriced|poor_quality|slow_response
"Communication was slow, plus poor workmanship, crooked and leaking.",negative,poor_quality|slow_response
Not happy at all. yelled at me when I pointed out a mistake.,negative,rude
"Would hire again. very responsive. On top of that charged exactly what was quoted, no surprises.",positive,fast_response|price_fair
Really happy with this. did a quality job. Also polite and helpful.,positive,friendly|high_quality
"Would hire again. very punctual, respected my schedule.",positive,punctual
Terrible service. way too expensive for what he did.,negative,overpriced
Great experience. right on time. Unfortunately arrived late without any excuse.,mixed,late|punctual
Everything was installed properly and works great.,positive,high_quality
Not happy at all. damaged my wall while working.,negative,poor_quality
Bad experience. unfriendly attitude the whole time and the work was awful.,negative,poor_quality|rude
"The installation was done wrong, plus added hidden costs at the end.",negative,overpriced|poor_quality
Really happy with this. his work is really good and courteous and professional in every way.,positive,friendly|high_quality
"Would not recommend. never replies, impossible to reach. Also not worth the money at all.",negative,overpriced|slow_response
Avoid this worker. had to hire someone else to fix his mistakes.,negative,poor_quality
Very quick to respond to my messages. Sadly final bill was double the estimate.,mixed,fast_response|overpriced
Would hire again. super fast communication throughout. Also explained everything patiently and nicely.,positive,fast_response|friendly
Very satisfied. very friendly and polite.,positive,friendly
"Very disappointed. way too expensive for what he did, plus bad work — disrespectful towards me and my home.",negative,overpriced|poor_quality|rude
"Excellent worker. kind person. On top of that finished the job within the promised time. Also same day service, incredibly fast.",positive,fast_response|friendly|punctual
"Avoid this worker. very unprofessional result, had to redo it — communication was painfully slow.",negative,poor_quality|slow_response
Very disappointed. postponed twice and then came late anyway.,negative,late
Highly recommend. nice and friendly.,positive,friendly
Avoid this worker. did a horrible job.,negative,poor_quality
Really happy with this. he was punctual and ready to work. However his prices are absurdly high.,mixed,overpriced|punctual
Would not recommend. unfriendly attitude the whole time. Also not worth the money at all.,negative,overpriced|rude
Kept to the agreed schedule perfectly. On top of that such a kind and respectful person.,positive,friendly|punctual
Would hire again. got back to me right away.,positive,fast_response
Would not recommend. the work quality was terrible.,negative,poor_quality
Very disappointed. did a horrible job.,negative,poor_quality
Not happy at all. waited forever just to get a quote. On top of that was arrogant and talked down to me.,negative,rude|slow_response
"Really happy with this. was there at 8 sharp as agreed, plus nice and friendly.",positive,friendly|punctual
Would not recommend. the installation was done wrong.,negative,poor_quality
Really happy with this. kind person. Unfortunately way too expensive for what he did.,mixed,friendly|overpriced
Not happy at all. took long to get back to me.,negative,slow_response
Bad experience. was late both days without warning and response time could be faster.,negative,late|slow_response
Bad experience. the bill was huge.,negative,overpriced
"The work quality is really good, but was late both days without warning.",mixed,high_quality|late
"Very satisfied. solid work — same day service, incredibly fast and such a kind and respectful person.",positive,fast_response|friendly|high_quality
Would hire again. fair price for good work. Sadly the work was awful.,mixed,poor_quality|price_fair
"Amazing work, really well done. Also right on time.",positive,high_quality|punctual
Bad experience. communication was slow — his prices are absurdly high.,negative,overpriced|slow_response
Bad experience. rude and unprofessional behavior and showed up two hours late.,negative,late|rude
Instant reply when I contacted him — finished the job within the promised time.,positive,fast_response|punctual
Very satisfied. affordable and honest pricing. The downside: quite rude when I asked questions.,mixed,price_fair|rude
Very disappointed. was late both days without warning.,negative,late
Excellent worker. fair price for good work and left everything clean and tidy after finishing.,positive,high_quality|price_fair
Not happy at all. the installation was done wrong. Also postponed twice and then came late anyway. On top of that way too expensive for what he did.,negative,late|overpriced|poor_quality
Excellent worker. responds fast. The downside: he was late.,mixed,fast_response|late
Really happy with this. quick response.,positive,fast_response
Great experience. great value for money.,positive,price_fair
Not happy at all. very rude and dismissive. Also response time could be faster.,negative,rude|slow_response
Excellent worker. transparent pricing from the start.,positive,price_fair
Very satisfied. showed up right when he said he would.,positive,punctual
"Not happy at all. never replies, impossible to reach — the problem came back two days later, plus way too expensive for what he did.",negative,overpriced|poor_quality|slow_response
Very disappointed. his prices are absurdly high and took long to get back to me and left a mess and the repair failed.,negative,overpriced|poor_quality|slow_response
Very satisfied. kind person.,positive,friendly
"Excellent worker. got back to me right away, plus solid quality work.",positive,fast_response|high_quality
"Very satisfied. fair quote and stuck to it, plus courteous and professional in every way.",positive,friendly|price_fair
Would not recommend. arrived late without any excuse. On top of that his prices are absurdly high.,negative,late|overpriced
Really happy with this. arrived exactly on time.,positive,punctual
"Excellent worker. pleasant to deal with, great attitude. On top of that the price is right.",positive,friendly|price_fair
Highly recommend. his work is really good. Sadly extremely slow communication.,mixed,high_quality|slow_response
Very disappointed. demanded extra money for no reason.,negative,overpriced
Excellent worker. on time.,positive,punctual
Would not recommend. took days to answer my messages.,negative,slow_response
"Very satisfied. made me feel comfortable, very nice guy.",positive,friendly
Terrible service. was arrogant and talked down to me.,negative,rude
Really happy with this. fast reply. However arrived late without any excuse.,mixed,fast_response|late
"Not happy at all. waited forever just to get a quote, plus demanded extra money for no reason.",negative,overpriced|slow_response
Terrible service. was arrogant and talked down to me. Also low quality job.,negative,poor_quality|rude
"The bill was huge, plus always late, wasted my whole day — zero manners, very unpleasant person.",negative,late|overpriced|rude
"Pleasant to deal with, great attitude, plus right on time.",positive,friendly|punctual
Bad experience. had to hire someone else to fix his mistakes.,negative,poor_quality
"Bad experience. demanded extra money for no reason — he was late, plus never replies, impossible to reach.",negative,late|overpriced|slow_response
Would not recommend. had to chase him constantly for updates.,negative,slow_response
Would hire again. outstanding work on my bathroom.,positive,high_quality
Great experience. affordable and honest pricing. Unfortunately very expensive.,mixed,overpriced|price_fair
Would hire again. very quick to respond to my messages.,positive,fast_response
"Would not recommend. sloppy job, it broke again after a week — arrived late without any excuse and was arrogant and talked down to me.",negative,late|poor_quality|rude
Would hire again. nice and friendly — finished the job within the promised time.,positive,friendly|punctual
Not happy at all. got rude with me.,negative,rude
Would hire again. super friendly and the repair was done perfectly. On top of that answered immediately and came the same day.,positive,fast_response|friendly|high_quality
"Poor workmanship, crooked and leaking and takes forever to answer. Also the price was a complete rip off.",negative,overpriced|poor_quality|slow_response
"Great experience. was there at 8 sharp as agreed, plus solid work.",positive,high_quality|punctual
Would not recommend. waited forever just to get a quote — was late both days without warning.,negative,late|slow_response
Got back to me right away.,positive,fast_response
Responds fast.,positive,fast_response
Bad experience. did not respect the schedule at all.,negative,late
Would hire again. the work is very good.,positive,high_quality
"Very satisfied. very punctual, respected my schedule, plus got back to me right away.",positive,fast_response|punctual
"Would hire again. very responsive, plus super friendly.",positive,fast_response|friendly
Would hire again. such a kind and respectful person.,positive,friendly
"Avoid this worker. response time could be faster, plus bad work, plus impolite and impatient with everything.",negative,poor_quality|rude|slow_response
"Would hire again. super fast communication throughout, plus fair price for good work and good quality and durable.",positive,fast_response|high_quality|price_fair
"Not happy at all. sloppy job, it broke again after a week.",negative,poor_quality
"Very satisfied. nice and friendly, but way too expensive for what he did.",mixed,friendly|overpriced
"Would hire again. clean and precise work, real craftsmanship and very punctual, respected my schedule and charged exactly what was quoted, no surprises.",positive,high_quality|price_fair|punctual
Bad experience. not worth the money at all.,negative,overpriced
Great experience. polite and helpful. Also was there at 8 sharp as agreed.,positive,friendly|punctual
Would not recommend. was arrogant and talked down to me.,negative,rude
Bad experience. ignored my calls for a week.,negative,slow_response
Great value for money. On top of that attention to detail was impressive.,positive,high_quality|price_fair
Not happy at all. expensive and not worth it — had to chase him constantly for updates.,negative,overpriced|slow_response
Terrible service. had a bad attitude — ignored my calls for a week.,negative,rude|slow_response
"Kept to the agreed schedule perfectly. On top of that cheap and good, plus great quality work.",positive,high_quality|price_fair|punctual
"Very satisfied. very punctual, respected my schedule and responded quickly and scheduled the visit fast.",positive,fast_response|punctual
"Bad experience. zero manners, very unpleasant person, plus had to hire someone else to fix his mistakes.",negative,poor_quality|rude
"Excellent worker. very quick to respond to my messages, but got aggressive when I asked questions.",mixed,fast_response|rude
"Highly recommend. very punctual, respected my schedule, plus amazing work, really well done.",positive,high_quality|punctual
"Not responsive at all — sloppy job, it broke again after a week — showed up two hours late.",negative,late|poor_quality|slow_response
Not happy at all. was late both days without warning.,negative,late
Excellent worker. the quality of the work is excellent. On top of that fair quote and stuck to it. Also he was punctual and ready to work.,positive,high_quality|price_fair|punctual
Would not recommend. takes forever to answer.,negative,slow_response
Excellent worker. super friendly — on time.,positive,friendly|punctual
Quick response.,positive,fast_response
Avoid this worker. too expensive. On top of that postponed twice and then came late anyway.,negative,late|overpriced
"Not happy at all. had to chase him constantly for updates, plus was really rude on the phone.",negative,rude|slow_response
Best price I could find for this job.,positive,price_fair
"Charged exactly what was quoted, no surprises. On top of that always punctual.",positive,price_fair|punctual
"Amazing work, really well done, plus the cost was lower than I expected, plus responded quickly and scheduled the visit fast.",positive,fast_response|high_quality|price_fair
Would not recommend. rude and unprofessional behavior. On top of that communication was painfully slow.,negative,rude|slow_response
Highly recommend. showed up right when he said he would.,positive,punctual
"Not happy at all. missed the appointment completely, plus way too expensive for what he did.",negative,late|overpriced
Very disappointed. never arrived at the agreed time and ignored my calls for a week.,negative,late|slow_response
"Showed up right when he said he would, plus very responsive.",positive,fast_response|punctual
"Very disappointed. sloppy job, it broke again after a week.",negative,poor_quality
Very disappointed. quite rude when I asked questions.,negative,rude
Avoid this worker. the price was a complete rip off. On top of that was arrogant and talked down to me.,negative,overpriced|rude
Would not recommend. left a mess and the repair failed. Also way too expensive for what he did.,negative,overpriced|poor_quality
"Highly recommend. flawless workmanship, everything works perfectly.",positive,high_quality
Would not recommend. the problem came back two days later. Also waited forever just to get a quote.,negative,poor_quality|slow_response
Yelled at me when I pointed out a mistake — added hidden costs at the end and the installation was done wrong.,negative,overpriced|poor_quality|rude
Avoid this worker. ignored my calls for a week.,negative,slow_response
Highly recommend. fixed everything perfectly — instant reply when I contacted him.,positive,fast_response|high_quality
"Would not recommend. never replies, impossible to reach. On top of that very expensive.",negative,overpriced|slow_response
"Very satisfied. same day service, incredibly fast, plus the work quality is really good.",positive,fast_response|high_quality
Impolite and impatient with everything — way too expensive for what he did and stopped responding after the first visit.,negative,overpriced|rude|slow_response
Very satisfied. good price. Unfortunately takes forever to answer.,mixed,price_fair|slow_response
"Never replies, impossible to reach — poor workmanship, crooked and leaking. Also never arrived at the agreed time.",negative,late|poor_quality|slow_response
"Excellent worker. very punctual, respected my schedule. Also responds fast.",positive,fast_response|punctual
Not happy at all. cheap materials and careless work. Also ignored my calls for a week. Also disrespectful towards me and my home.,negative,poor_quality|rude|slow_response
Excellent worker. on time. On top of that best price I could find for this job.,positive,price_fair|punctual
The bill was huge — he was late.,negative,late|overpriced
Avoid this worker. got rude with me.,negative,rude
"Would hire again. on time, plus nice and friendly.",positive,friendly|punctual
Would not recommend. unfriendly attitude the whole time.,negative,rude
Terrible service. left a mess and the repair failed — arrived late without any excuse.,negative,late|poor_quality
Kind person.,positive,friendly
"Postponed twice and then came late anyway, plus never replies, impossible to reach.",negative,late|slow_response
Very satisfied. very quick to respond to my messages. Unfortunately impolite and impatient with everything.,mixed,fast_response|rude
"Very satisfied. top quality job, no issues since.",positive,high_quality
Really happy with this. replied to my request within minutes.,positive,fast_response
Would not recommend. charged much more than the original quote. Also ignored my calls for a week.,negative,overpriced|slow_response
Great experience. super friendly.,positive,friendly
Very disappointed. did a horrible job. On top of that too expensive.,negative,overpriced|poor_quality
"Would not recommend. not worth the money at all — always late, wasted my whole day.",negative,late|overpriced
Great experience. very quick to respond to my messages.,positive,fast_response
Fair price for good work. The downside: missed the appointment completely.,mixed,late|price_fair
"Would hire again. very friendly and polite, but hours late.",mixed,friendly|late
"Very satisfied. kind person. On top of that good quality and durable and very punctual, respected my schedule.",positive,friendly|high_quality|punctual
"Would not recommend. very unprofessional result, had to redo it. Also never arrived at the agreed time. Also response time could be faster.",negative,late|poor_quality|slow_response
Would not recommend. extremely slow communication.,negative,slow_response
Would hire again. arrived exactly on time. Also perfect job.,positive,high_quality|punctual
"Bad experience. the problem came back two days later. Also zero manners, very unpleasant person.",negative,poor_quality|rude
Excellent worker. always punctual and super fast communication throughout.,positive,fast_response|punctual
Bad experience. not worth the money at all. Also quite rude when I asked questions.,negative,overpriced|rude
"Very punctual, respected my schedule — very reasonable price for the work done — very quick to respond to my messages.",positive,fast_response|price_fair|punctual
Would hire again. quick response. The downside: added hidden costs at the end.,mixed,fast_response|overpriced
Very disappointed. stopped responding after the first visit.,negative,slow_response
